21/2/2020 12:25:35
Time(ms)	Pressure(psig)	RPS	Current	Voltage
2131.00	106.96	16.27	6.18	3.30
2135.00	128.02	16.27	5.43	3.30
2140.00	127.32	16.27	6.29	3.30
2145.00	122.42	16.27	5.36	3.30
2149.00	131.81	16.27	6.40	3.30
2154.00	114.52	16.27	5.44	3.30
2159.00	132.23	16.27	6.75	3.30
2163.00	104.71	16.27	5.35	3.30
2168.00	129.38	16.27	6.63	3.30
2172.00	112.93	16.27	5.34	3.30
2177.00	132.60	16.27	6.50	3.30
2182.00	123.03	16.27	5.44	3.30
2186.00	127.00	16.27	6.51	3.30
2191.00	130.64	16.27	5.48	3.30
2196.00	101.26	16.27	6.31	3.30
2200.00	130.55	16.27	5.48	3.30
2205.00	104.57	16.27	6.17	3.30
2210.00	132.56	16.27	5.38	3.30
2214.00	127.37	16.27	6.00	3.30
2219.00	129.71	16.27	5.51	3.30
2224.00	124.38	16.27	5.74	3.29
2228.00	118.12	16.27	5.62	3.30
2233.00	131.53	16.27	5.58	3.30
2237.00	118.54	16.27	5.72	3.29
2242.00	134.24	16.27	5.56	3.30
2247.00	104.57	16.27	6.06	3.30
2251.00	130.17	16.27	5.60	3.30
2256.00	109.80	16.27	6.27	3.30
2261.00	128.68	16.27	5.41	3.30
2265.00	127.23	16.27	6.36	3.30
2270.00	121.62	16.27	5.34	3.30
2275.00	131.20	16.27	6.64	3.30
2279.00	113.40	16.27	5.47	3.30
2284.00	131.15	16.27	6.64	3.30
2288.00	106.53	16.27	5.40	3.30
2293.00	129.29	16.27	6.36	3.30
2298.00	114.85	16.27	5.36	3.29
2302.00	133.07	16.27	6.21	3.30
2307.00	130.78	16.27	5.47	3.30
2312.00	126.48	16.27	6.15	3.30
2316.00	131.57	16.27	5.43	3.30
2321.00	99.76	16.27	5.90	3.30
2326.00	129.43	16.27	5.59	3.30
2330.00	104.20	16.27	5.73	3.30
2335.00	132.56	16.27	5.86	3.30
2339.00	119.57	16.27	5.60	3.30
2344.00	127.88	16.27	6.31	3.30
2349.00	124.99	16.27	5.49	3.29
2353.00	102.14	16.27	6.33	3.29
2358.00	131.39	16.27	5.42	3.30
2363.00	104.67	16.27	6.45	3.30
2367.00	133.30	16.27	5.44	3.30
2372.00	106.30	16.27	6.59	3.30
2377.00	129.66	16.27	5.53	3.30
2381.00	116.11	16.27	6.51	3.30
2386.00	127.00	16.27	5.44	3.30
2390.00	130.36	16.27	6.40	3.29
2395.00	121.16	16.27	5.38	3.29
2400.00	134.00	16.27	6.23	3.30
2404.00	110.23	16.27	5.58	3.30
2409.00	131.29	16.27	6.14	3.30
2414.00	110.83	16.27	5.47	3.30
2418.00	129.43	16.27	5.81	3.30
2423.00	119.15	16.27	5.65	3.30
2428.00	131.62	16.27	5.75	3.30
2432.00	134.14	16.27	5.63	3.30
